id	title	genre	duration	created_at	likes_count	reposts_count	kind	permalink	permalink_url	uri	user_id	tag_list	track_count	trackIds
775444269	lofi/sleep	lofi	37411518	2019-05-09	114969	5646	playlist	lofi	https://soundcloud.com/yourwaifusad/sets/lofi	https://api.soundcloud.com/playlists/775444269	104584700	lofi sleep relax chill	164	987667693,310876597,369415145,389036199,555588312,336948821,600209349,495551091,374583887,677815569,299807094,380356628,396755733,515509074,609994947,463441716,641725059,306325604,286083479,660701015,627678411,559603260,464283684,346108938,437074968,647792847,511332477,319983149,329237252,480906666,281408415,392036283,341423712,524720409,378889796,345589727,323081902,340763984,333536882,358017434,321864150,281580837,323262261,322374035,379478738,330184083,304680522,391463559,249208062,346248231,414287907,284369474,319420937,301732454,300530429,307470698,345675666,317691063,300997167,318143904,345186172,322027229,337655253,500375496,251613245,327258857,295622265,238851996,286062857,260750612,307179902,274200776,285617504,322584744,322618663,265785497,378139829,294449797,322340831,321711957,321850261,322160941,452488647,389140821,342153863,333352893,344212638,341830427,333493631,317968050,376669052,450639156,433444287,332307650,295257034,342625355,312570205,330723324,338528534,325254408,335306202,347248040,331171374,333098779,327060401,316858738,296071209,359658680,346575937,223698226,261348850,299133780,360056402,281147820,243169591,307331265,163766845,345241212,272100922,331207501,318556936,278569869,334382593,212380672,218101823,293054520,365891825,303784644,305977982,403725156,275179146,342790956,514312869,559744167,516247308,324505216,404389356,404546793,527517591,359783510,344835063,494890689,510461586,426566034,421669230,338832464,320540527,411952395,335505122,659831063,352988036,334378805,396447534,330956101,468966978,549794229,591338205,503830752,358528997,466774704,334707257,346181159,563216862,350695009
698593434	Best of Sexxy Deep House (Vol. 03)	Dance & EDM	11723883	2019-01-31	4131	235	playlist	sexydeephouse	https://soundcloud.com/digitalstreams/sets/sexydeephouse	https://api.soundcloud.com/playlists/698593434	133467077	party workout study chill deephouse sleep	44	164722174,122035672,3989457,228066759,89183964,112041677,135662350,136788349,327715220,78037278,62031852,169786843,116375972,57748307,89350110,197427083,138238913,313940725,206370322,80811130,188102107,220986141,139087119,220442445,241945436,211928018,109045361,655842614,135080606,171534317,51686765,283816871,214966397,84096965,209596119,315354069,325676273,389664738,257981666,147354448,295177671,685387459,143932671,1053077773
1263410611	Last days of Spring		3052305	2021-05-27	366	14	playlist	last-days-of-spring	https://soundcloud.com/thenoisetier/sets/last-days-of-spring	https://api.soundcloud.com/playlists/1263410611	407423964		13	999165652,766404670,748625434,206617711,201102333,138897443,338870624,318820038,214048157,347560555,182668377,273970209,240549554
158340757	Read more, Write more	Classical	5646756	2015-10-24	41516	2713	playlist	read-more-write-more	https://soundcloud.com/itsulana/sets/read-more-write-more	https://api.soundcloud.com/playlists/158340757	11164017	Piano study readmore writemore	23	202846643,181355844,72890259,1206846,43782479,202846686,227531486,76806439,60033674,54698516,35914210,40775686,8973529,119832962,90421473,96617122,183194129,124540384,101528601,7300897,87948045,53187186,53184784
293066859	Run	Electronic	8757797	2017-01-19	88430	4891	playlist	running	https://soundcloud.com/electro_selekta_project/sets/running	https://api.soundcloud.com/playlists/293066859	10814937	"sport workout running cardio fitness electro ""Deep House"" Minimal"	25	1129629355,159930759,141220177,219100175,313234131,80208955,9472286,1009667185,88802408,711069100,611557116,202313736,526155816,68310054,663179429,827548501,66010368,205176684,95229027,122423003,766795288,212101601,19798118,223407861,11862462
1132958047	Oct. Lo-fi		6051472	2020-09-22	31853	904	playlist	r-lofi-beat	https://soundcloud.com/hanriverlove/sets/r-lofi-beat	https://api.soundcloud.com/playlists/1132958047	552289491	chill sleep relax study	28	566149551,618642378,593246778,560044023,652827446,910487365,355420310,426594042,349306005,338514755,642906000,278966878,344746307,322340831,285785001,300863486,210245858,443212233,342363723,358401875,262726606,221322090,296684248,299449323,134246893,347697268,160857421,529297095
346367168	Favorites	Chill	10750393	2017-08-19	25292	1096	playlist	s12	https://soundcloud.com/yeonkkot/sets/s12	https://api.soundcloud.com/playlists/346367168	180340836	Chill Ambient jazzhop lofi study	54	211157423,215900922,241765015,263982956,177494207,246670616,333010936,219907567,186211733,183996464,200594112,249801793,335388996,333920834,70618194,311711574,247632379,311909470,325196905,323759056,194510401,249604027,323562187,297061445,299768359,225516546,262485178,309826561,322007816,113204188,263290180,261023188,318820521,245648434,264137295,54030746,193048221,207778924,257552840,222580831,217473243,221020670,202678216,264668692,220410243,154741009,215680825,263709472,245303581,195021123,158879423,27676664,238188004,201172190
308521154	EFC: Volume 12, 2017	Pop	3630192	2017-03-18	21010	1280	playlist	efc-volume-12-2017	https://soundcloud.com/electric-flight-crew/sets/efc-volume-12-2017	https://api.soundcloud.com/playlists/308521154	116881596	"""Dance Pop"" ElectricFlightCrew Workout Mixtape RunMix"	18	257878832,301653699,305885805,312356337,312161891,286533813,311726153,144862031,243222149,308158931,176393616,252739311,290991580,304609118,312906669,312833568,264940362,307111678
287898392	New year bitches		21108299	2016-12-31	9716	443	playlist	new-year-bitches	https://soundcloud.com/sugandh-arora-446014047/sets/new-year-bitches	https://api.soundcloud.com/playlists/287898392	195963124		16	157704209,28492469,165819721,148871532,151284213,148726173,167526061,94638135,215135443,166695457,173339373,239824167,245681524,219479950,28160754,181589702
279673872	Rainy Day	Chill	4861300	2016-11-30	40844	2448	playlist	rainy-day	https://soundcloud.com/sdoukas/sets/rainy-day	https://api.soundcloud.com/playlists/279673872	79168303	RainyDay Soul Study Relax	24	207294611,1092285748,135043565,216383661,205990714,409155111,464442813,397142619,209486977,194510401,208109881,205220913,140558241,205219874,191667444,205982549,121239554,3336058,238750830,291298243,172878983,228395121,256172399,726811903
