Playlist ID	Tilte	Playlist url	Genre	Likes count	Repost count	Track Count	TrackIDs	Creator ID	Creator name	user url
199827369	Miami 2016 |  Exclusive tracks	https://soundcloud.com/biganddirtyrecords/sets/miami-2016-mixed-by-lazy-rich	Lazy Rich	78	18.0	4	248842420 248843021 248842606 248842809 	85326995	Big & Dirty Records	https://soundcloud.com/biganddirtyrecords
201382335	Simon Kidzoo - The Six EP | Out now	https://soundcloud.com/cyfirecords/sets/simon-kidzoo-the-six-ep	Tech House	14	8.0	3	249626283 249626277 249626286 	2375205	CYFI Records	https://soundcloud.com/cyfirecords
204650308	Out Now: Jaden Daves & Airoon - Pavilion	https://soundcloud.com/beyourselfmusic/sets/out-now-jaden-daves-airoon	Progressive House	13	6.0	1	249647071 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
206626895	F-Man - Get It On, Jango | Out now	https://soundcloud.com/cyfirecords/sets/f-man-get-it-on-jango		24	8.0	2	252369301 252369293 	2375205	CYFI Records	https://soundcloud.com/cyfirecords
208233124	Funkerman - You Got Me Weak (Remixes) | Out now	https://soundcloud.com/wearedirtysoul/sets/funkerman-you-got-me-weak-1	Electronic	45	17.0	3	254247931 254248068 254248238 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
218294378	Out Now: Marco V - The Human Puzzle ft. Mr. Mann	https://soundcloud.com/beyourselfmusic/sets/out-now-marco-v-the-human	Progressive House	18	9.0	1	258788823 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
222619661	Out Now: Akami & FUNKYBEAT - BTF Back	https://soundcloud.com/beyourselfmusic/sets/out-now-akami-funkybeat-btf	House	14	7.0	1	261294353 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
224639472	Beauriche - Beat The Men EP | Out now	https://soundcloud.com/cyfirecords/sets/beauriche-beat-the-men-ep-out	Tech House	33	13.0	4	260968195 260968400 260968189 260968176 	2375205	CYFI Records	https://soundcloud.com/cyfirecords
236713280	Majestique - Science Of The Heart EP | Out now	https://soundcloud.com/wearedirtysoul/sets/majestique-science-of-the-1	Electronic	38	12.0	4	271040935 271040768 271540661 269375577 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
239580631	Fade Into The Sun (Remixes)	https://soundcloud.com/lulleaux/sets/fade-into-the-sun-remixes		62	26.0	2	272710208 272710214 	6433865	Lulleaux	https://soundcloud.com/lulleaux
241589564	Out now: Marco V - Yeahka	https://soundcloud.com/beyourselfmusic/sets/out-now-marco-v-yeahka	Progressive House	14	9.0	1	272581513 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
251684813	Tom Bull & Nadia Gattas - Bound To You (The Remixes)	https://soundcloud.com/wearedirtysoul/sets/tom-bull-nadia-gattas-bound-to-you-the-remixes	Deep House	42	18.0	2	278936820 278936818 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
257720699	Norde feat. Lucas Nord - Missing You	https://soundcloud.com/wearedirtysoul/sets/norde-feat-lucas-nord-missing		18	5.0	1	277236484 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
257761288	Out now: Jack Note - Revolt	https://soundcloud.com/beyourselfmusic/sets/out-now-jack-note-revolt	Progressive House	9	5.0	1	279850236 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
259665957	Kav Verhouzer - Feel The Sun	https://soundcloud.com/wearedirtysoul/sets/kav-verhouzer-feel-the-sun		23	8.0	1	283162260 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
261572135	Majestique - Overload EP	https://soundcloud.com/wearedirtysoul/sets/majestique-overload-ep-1	Electronic	51	14.0	4	284256333 283938261 284256602 284256462 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
265370986	Flamingo ADE 2016 (OUT NOW)	https://soundcloud.com/flamingo-recordings/sets/flamingo-ade-2016-out-now	Dance & EDM	46	10.0	2	285264988 285252278 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
267283746	TW3LV - Sunset Skies / Out now	https://soundcloud.com/wearedirtysoul/sets/tw3lv-sunset-skies-out-now		27	5.0	1	287614505 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
283893647	Out now on Spotify: Marco V - Mighty Machine (Timelapse Mix)	https://soundcloud.com/beyourselfmusic/sets/out-now-on-spotify-marco-v	Tech Trance	9	3.0	1	293647720 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
284671475	Out now: Stephan Amount - They Can't Stop Us (incl. Mr Thomas Remix)	https://soundcloud.com/flamingo-recordings/sets/out-now-stephan-amount-they	Dance & EDM	42	14.0	2	297523395 297523396 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
284680451	Out now on Spotify: Marcel Woods - Tomorrow (M.I.K.E. Push Remix)	https://soundcloud.com/highcontrastrecordings/sets/out-now-on-spotify-marcel	Trance	11	6.0	1	295536621 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
285765477	Out now: Jack Note - Hijacked	https://soundcloud.com/beyourselfmusic/sets/out-now-jack-note-hijacked	Trance	24	6.0	1	298028701 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
291348045	Bel Air feat. Misunderstood - Close To You (Remixes)	https://soundcloud.com/beyourselfmusic/sets/bel-air-feat-misunderstood-1	House	9	2.0	3	302486399 302486427 302486436 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
291389703	Matt & Kendo - Clamor & Rumblerrr	https://soundcloud.com/cyfirecords/sets/matt-kendo-clamor-rumblerrr	Tech House	23	5.0	2	302508514 302508516 	2375205	CYFI Records	https://soundcloud.com/cyfirecords
300737873	Out now: Marco V - Colored Glass	https://soundcloud.com/beyourselfmusic/sets/out-now-marco-v-colored-glass	Trance	9	1.0	1	307500306 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
304440585	Out now: Francesco Diaz & Young Rebels - Turkish Bazar	https://soundcloud.com/beyourselfmusic/sets/out-now-francesco-diaz-young	Techno	9	7.0	1	309786037 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
307373314	Flamingo Nights. 5 - Miami (Mixed by Funkerman) [Exclusives] (OUT NOW)	https://soundcloud.com/flamingo-recordings/sets/flamingo-nights-5-miami-mixed	House	41	10.0	1	311517708 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
309218389	Funkerman ft. Enlery - Silhouet	https://soundcloud.com/flamingo-recordings/sets/funkerman-ft-enlery-silhouet	House	77	13.0	1	310475141 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
323995245	My Disco Funk album 'Another Version Of Me'	https://soundcloud.com/funkerman/sets/my-new-album-another-version	Disco	70	16.0	10	320690829 320348105 320690861 329222468 320690854 337940132 337263494 320690847 327399375 339421828 	400602	FUNKERMAN	https://soundcloud.com/funkerman
336056099	Flamingo DJ Tools EP	https://soundcloud.com/flamingo-recordings/sets/out-now-flamingo-dj-tools-ep	House	37	11.0	3	330541345 330524373 330673782 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
339279647	Out now: Trance Energy 2017	https://soundcloud.com/highcontrastrecordings/sets/out-now-trance-energy-2017	Trance	19	3.0	1	332671936 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
345198931	Out now: Jochen Miller & JES - Head On (The Remixes)	https://soundcloud.com/highcontrastrecordings/sets/out-now-jochen-miller-jes	Trance	22	11.0	2	337421164 337421161 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
357932502	Weekend weapons: DJ Tools EP vol.2	https://soundcloud.com/flamingo-recordings/sets/weekend-weapons-dj-tools-ep	House	30	11.0	3	343941156 344099360 344258666 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
377044427	High Contrast Recordings	https://soundcloud.com/beyourselfmusic/sets/high-contrast-recordings	Trance	14	2.0	62	703978897 668509262 658051214 662916662 625889382 625889385 624211719 613138806 606345324 602691498 581618862 583339074 582224316 579445209 573656676 563896449 555385197 539056647 539057151 532108149 525026142 521474502 514538352 504322998 477472503 468136836 463187697 463187685 453605382 430536858 416144916 409107462 409107459 405487833 402482718 398865552 395257929 394819602 390932379 384932726 384887327 380593607 375688829 369890087 365347961 358965161 359470445 359896523 356659139 355178318 348192207 347113109 343041049 341312281 339295049 337421161 337143052 546118659 651304337 648005343 625889379 751005613 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
377052146	Big & Dirty Recordings	https://soundcloud.com/beyourselfmusic/sets/big-dirty-recordings-1	Dance & EDM	15	1.0	93	982724314 969134902 815356069 784427470 752015149 744276028 723548704 716329183 706338775 690393520 676732158 669894101 662936591 662933522 656697854 650118956 646622664 646133838 646135377 646136313 640003713 635032554 630936255 624714300 623547888 618070836 616570116 611245671 606830265 601313799 591878163 589881819 585237054 584880357 581704581 575916231 575917830 575181105 570459273 570459249 570459264 571497438 567596361 558778359 547650402 547650525 537833604 533818443 526557369 525021252 521475051 519090420 516080055 514528620 509330004 509328990 511147788 502497918 495933642 484140117 483285933 476787249 471169044 465134466 461394474 458297292 445263783 441511914 435379929 432023859 424705377 425171214 422232129 414527904 403959198 388832007 383835632 372056903 366694658 360264794 353725826 348815366 346857769 346857761 346857752 344566333 342454656 340423537 338383868 336825906 336207000 334139042 334138697 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
377054870	Dirty Soul Music	https://soundcloud.com/beyourselfmusic/sets/dirty-soul-music	Indie Dance	16	6.0	41	1082262460 965487364 723038854 715912525 700519879 695993961 654758870 687095800 679019547 676193234 665717453 571142757 556360656 547647963 537137865 512689002 448925916 418206980 406938582 399950376 405864330 392837499 392836278 385394963 388154879 381953744 372533711 366660593 362224073 348682971 356546900 350558395 348837738 342460630 341351536 340425000 338384477 336206443 334139432 607750188 820150882 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
384663641	The Homecoming EP [OUT NOW]	https://soundcloud.com/highcontrastrecordings/sets/the-homecoming-ep-out-now	Trance	10	4.0	2	359470445 359896523 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
